AFFX-BioB-5_at AFFX-BioB-M_at AFFX-BioB-3_at AFFX-BioC-5_at AFFX-BioC-3_at AFFX-BioDn-5_at AFFX-BioDn-3_at AFFX-CreX-5_at AFFX-CreX-3_at AFFX-BioB-5_st AFFX-BioB-M_st AFFX-BioB-3_st AFFX-BioC-5_st AFFX-BioC-3_st AFFX-BioDn-5_st AFFX-BioDn-3_st AFFX-CreX-5_st AFFX-CreX-3_st hum_alu_at AFFX-DapX-5_at AFFX-DapX-M_at AFFX-DapX-3_at AFFX-LysX-5_at AFFX-LysX-M_at AFFX-LysX-3_at AFFX-PheX-5_at AFFX-PheX-M_at AFFX-PheX-3_at AFFX-ThrX-5_at AFFX-ThrX-M_at AFFX-ThrX-3_at AFFX-TrpnX-5_at AFFX-TrpnX-M_at AFFX-TrpnX-3_at AFFX-HUMISGF3A_M97935_5_at AFFX-HUMISGF3A_M97935_MA_at AFFX-HUMISGF3A_M97935_MB_at AFFX-HUMISGF3A_M97935_3_at AFFX-HUMRGE_M10098_5_at AFFX-HUMRGE_M10098_M_at AFFX-HUMRGE_M10098_3_at AFFX-HUMGAPDH_M33197_5_at AFFX-HUMGAPDH_M33197_M_at AFFX-HUMGAPDH_M33197_3_at AFFX-HSAC07_X00351_5_at AFFX-HSAC07_X00351_M_at AFFX-HSAC07_X00351_3_at AFFX-HUMTFRR_M11507_5_at AFFX-HUMTFRR_M11507_M_at AFFX-HUMTFRR_M11507_3_at AFFX-M27830_5_at AFFX-M27830_M_at AFFX-M27830_3_at AFFX-HSAC07_X00351_3_st AFFX-HUMGAPDH_M33197_5_st AFFX-HUMGAPDH_M33197_M_st AFFX-HUMGAPDH_M33197_3_st AFFX-HSAC07_X00351_5_st AFFX-HSAC07_X00351_M_st A28102_at AB000114_at AB000115_at AB000220_at AB000409_at AB000449_at AB000450_at AB000460_at AB000462_at AB000464_at AB000466_at AB000467_at AB000468_at AB000584_at AB000895_at AB000896_at AB000897_at AB000905_at AB001106_at AB001325_at AB002314_at AB002315_at AB002318_at AB002365_at AB002366_at AB002380_at AB002382_at AB002409_at AB002559_at AB003102_at AB003103_at AB003177_at AB003698_at AB004884_at AB006190_at AC000061_cds2_at AC000061_cds3_at AC000062_at AC000064_cds1_at AC000064_cds2_at AC000066_at CLASS 
-60 -109 45 22 7 -61 -211 -102 -20 98 -46 -257 9 -37 74 95 -28 -151 16690 -19 83 2 19 -41 -13 -5 -89 10 -85 -35 -116 -82 -287 -164 -122 -31 149 409 -61 -207 -134 16680 15249 16770 15142 21050 14549 107 -19 96 1696 5328 -282 373 -185 164 114 -35 131 212 3 91 633 23 -5 143 956 16 312 -299 -61 583 1983 -274 31 -6 34 175 237 50 93 673 188 15 324 1271 126 887 1238 90 319 95 325 308 279 -24 -3 337 105 40 1 
-159 -113 -62 -16 -160 -395 97 -157 15 -8 -357 -321 -511 -221 63 447 177 -48 22266 -700 -804 -51 -18 -100 -181 -110 -147 35 -70 -130 -365 -160 -4468 -3417 -3709 -4218 -31 420 1820 85 430 1050 1629 12616 605 2767 24762 170 -67 176 965 2366 740 1414 15 340 605 -291 378 117 -73 524 236 18 174 261 1825 269 1057 -695 -625 217 -224 -425 -5 -58 378 802 1324 129 134 372 31 -80 288 760 -108 326 548 211 345 283 574 682 484 -112 -33 147 38 -90 1 
-119 -31 4 -11 -197 -541 -277 -166 17 392 153 -465 -479 11 -113 -82 -119 -230 36398 -8 -39 -51 -19 17 66 -155 -168 113 -102 -82 -153 -13 -428 -153 -348 -179 144 248 1280 1071 665 15019 22192 29729 18412 26632 16586 70 -44 153 2502 9799 -11 1450 82 235 346 79 530 366 -39 153 93 -188 93 86 1411 -70 339 -723 -687 321 68 -876 106 -33 48 1060 834 70 104 208 -86 -48 106 394 -168 887 612 374 204 199 614 512 354 39 -26 394 55 37 1 
41 9 -256 370 -302 -680 254 31 186 358 46 11 -293 -72 -317 114 -112 -248 28273 145 254 -39 89 -233 -100 22 -1 9 0 -82 -614 -7 -665 -241 -330 -237 -233 214 -183 -639 -170 9938 10329 20654 10990 16462 12198 306 -5 302 407 2757 157 585 -171 134 304 304 549 628 237 128 121 -42 112 439 2405 149 757 -745 -893 -166 437 -1792 -177 142 74 117 213 100 -362 166 -155 -239 93 403 -291 571 205 117 147 42 -59 730 370 218 211 871 381 295 1 
-165 -57 171 216 -692 -381 762 -6 44 216 -279 -908 -508 -285 127 209 -324 -209 119388 -127 285 50 88 -476 324 -127 -254 -76 -152 -158 -362 -44 -1575 -476 -527 -330 349 1734 1042 336 279 10561 12848 17881 28328 36049 25201 38 -57 88 3812 13217 1023 3787 743 273 533 241 1061 273 177 165 1004 -393 88 -6 1201 12 1258 -1442 -4473 552 -362 610 -241 -19 203 451 1048 190 190 705 222 -1092 756 711 -44 1283 1143 368 546 432 305 324 -1690 -292 -101 444 171 38 1 
-66 -123 57 -84 -129 -100 73 -147 27 10 73 -334 -84 86 121 118 -78 -79 25787 36 0 -55 50 36 27 -15 -50 -53 -43 -40 -34 42 -439 -245 -365 -92 50 349 -68 -343 -78 18371 20279 21164 23022 27319 17746 160 76 388 134 822 -43 337 -23 86 143 -40 139 43 36 -7 57 -118 78 36 698 50 173 -194 -713 785 320 -276 -14 -56 33 126 379 49 40 274 31 68 97 503 -117 250 516 168 166 198 149 89 262 -8 82 359 53 -14 1 
-28 -42 -142 113 -315 -399 352 -248 104 195 93 -397 -204 -24 84 -64 42 -179 39800 4 199 -44 51 91 -44 46 -24 -28 77 -11 -115 -53 -534 -279 -259 -159 19 184 -130 -366 -157 18678 26603 28443 24101 34839 25577 128 -75 128 -77 313 -68 233 -62 106 139 -122 68 142 99 133 202 -155 -26 137 1209 -35 295 -645 -357 466 -79 -481 -71 -28 86 206 530 84 99 381 -115 119 257 537 -186 372 466 539 139 91 521 197 182 -110 -66 410 44 -106 1 
-6 238 110 -103 -311 -358 -40 -258 -23 244 167 -892 -821 -137 -674 -540 70 -174 55164 -144 -134 -291 -130 -144 -97 -140 -325 30 127 -43 -597 -77 -966 -389 -506 -238 -73 446 -20 -469 -127 14985 13844 29913 31235 43278 27126 30 -43 228 627 3837 -228 2267 90 570 573 734 1479 1556 -6 107 70 -13 -187 40 2167 -114 989 -1962 -1086 466 201 -2230 288 20 10 174 1569 301 174 979 36 3 -23 593 -281 1133 667 402 506 318 1244 677 798 -184 -87 664 10 -26 1 
-106 -169 -39 170 -113 -286 -478 -86 -70 -113 -66 -316 -618 -193 44 99 -115 -166 13357 -264 -81 -3 25 -154 2 -100 -168 -15 -48 -85 -305 -15 -1325 -812 -981 -512 130 828 896 494 887 15118 11607 15449 15765 18524 14665 367 113 389 1401 3554 360 3056 455 473 762 243 848 218 133 231 213 227 89 145 1455 39 251 -565 -671 428 25 5 162 55 131 415 625 50 192 1057 82 -40 225 1110 -64 477 370 237 669 389 1377 826 394 -110 -3 502 79 20 1 
-60 -90 25 30 -48 -156 62 -74 33 85 -78 -95 -174 371 48 73 -2 -83 18244 -10 22 19 39 -59 24 -46 -75 -45 24 -58 -76 -31 -280 -194 -210 -193 47 174 44 -12 -17 11909 14255 15371 7740 11741 7601 69 -9 157 93 1252 135 712 -34 91 -11 -142 62 82 -18 36 151 0 17 100 595 -8 1 -213 -236 40 1 -132 -132 -16 81 168 266 -19 73 166 55 64 18 235 24 257 137 45 152 37 221 102 27 -74 -72 131 32 20 1 
